slug,start,end,all_day,title,title_es,kind,language,venue,address,city,region,postal,cost,flyer_paths,flyers,description,website,contact_email,thumbs
monthly-service-study-and-sharing-session-6,2026-08-20 18:00:00,2026-08-20 19:30:00,,Monthly Service Study and Sharing Session,,Event,English,,,,,,,docs/events/monthly-service-study-and-sharing-session-1.jpg; docs/events/monthly-service-study-and-sharing-session-2.jpg,https://lh3.googleusercontent.com/d/1mMWbh3I9VTGtKl2gptJgkyCu77ryLH4k; https://lh3.googleusercontent.com/d/1Oys71G7e2BUgO5pZVPghIIXH1bojXmMD,"https://us06web.zoom.us/j/85989557002 

 Meeting ID: 859 8955 7002

 Passcode: Panel76",,,https://lh3.googleusercontent.com/d/1iLY54BsinP1_DPeqO99fKm3fY2Q6un6u; https://lh3.googleusercontent.com/d/1MkuEo1qb7jB2O4Rg8eoEtFLsfiBrlS6M
district-6-one-love-reggae-summer-event,2026-08-22 12:00:00,2026-08-22 16:00:00,,District 6 – One Love Reggae Summer Event,,Event,English,lake park club house,1035 11th street,hunnington beach,CA,92648,,docs/events/district-6-one-love-reggae-summer-event-1.jpg,https://lh3.googleusercontent.com/d/1ta027CLBabx6FPvkGHj-JeAufGKqTWHA,flyer,,,https://lh3.googleusercontent.com/d/1oAl1Y-s0OLBkcxizLEWrLXbj4XoP8aFm
rocypaa-business-meeting,2026-08-23 17:00:00,2026-08-23 19:00:00,,ROCYPAA Business Meeting,,YPAA,English,Irvine United Congregational Church,4915 Alton Pkwy,Irvine,CA,92604,,docs/events/rocypaa-business-meeting-1.jpg,https://lh3.googleusercontent.com/d/1rkxaslBDo7oK7x86wZefOWqzZyIvY7UP,,,,https://lh3.googleusercontent.com/d/1QqXWOhJ4Q4RAFdl-ATDWn0yXgckxJ2bP
psr-2026-pi-forum,2026-08-27 17:00:00,2026-08-27 19:00:00,,PSR 2026 PI Forum,,Forum,English,,,,,,,docs/events/psr-2026-pi-forum-1.jpg,https://lh3.googleusercontent.com/d/1hkwLtX9C-F38zVibkGDfqDhxmJY6tlsH,"Zoom Meeting:

ID: 372-574-1056

Password: PIROCKS",,,https://lh3.googleusercontent.com/d/1gza3aR01FYNj1ox9fKLfKfzQBiC22HJm
20th-mountain-aa-conference,2026-08-28 00:00:00,2026-08-30 23:59:59,yes,20th Mountain AA Conference,,Convention,English,Big Bear Performing Arts Center,39707 Big Bear Blvd,Big Bear Lake,CA,92315,,docs/events/20th-mountain-aa-conference-1.jpg,https://lh3.googleusercontent.com/d/1_j-ci_vokNEYAgkbGFKsh--_MYE_UjHp,"20th Mountain AA Conference August 28th–30th Big Bear performing Arts Center 39707 Big Bear Blvd, Big Bear Lake, CA 92315

 mountainaaconference.com",,,https://lh3.googleusercontent.com/d/1nMgnMqZ_GPJ_OxcdsEIQoc2WhuJAUaX8
area-service-assembly,2026-09-13 08:00:00,2026-09-13 15:00:00,,Area Service Assembly,,Assembly,English,Mizell Center,480 South Sunrise Way,Palm Springs,CA,92262,,docs/events/area-service-assembly-1.jpg; docs/events/area-service-assembly-2.jpg,https://lh3.googleusercontent.com/d/1bSG0lLqJTZu9s3ojdZM1NFnpwJkFpezN; https://lh3.googleusercontent.com/d/1VA5YIPeumD2R5epsDlBv4N4WNQ1OrqUq,"Details:

 Area Service Assembly (ASA)

 Hosted by District 9 & District 30

 Date:

 September 13th, 2026

 Time:

 8:00 AM PT – 9:00 AM PT – Registration

 ASA 9:00 AM PT – 3:00 PM PT ASA

 Location:

 Mizell Center

 480 S Sunrise Way

 Palm Springs, CA 92262

 Zoom ID: 896 6166 6203

 Passcode: Panel76",,,https://lh3.googleusercontent.com/d/1z4Y6mBxZD68sKgpYtea0hzikjx4ttLDa; https://lh3.googleusercontent.com/d/12nAbGnntNqWPsGEM5BDLdyrajdru1Tc5
monthly-service-study-and-sharing-session-7,2026-09-17 18:00:00,2026-09-17 19:30:00,,Monthly Service Study and Sharing Session,,Event,English,,,,,,,docs/events/monthly-service-study-and-sharing-session-1.jpg; docs/events/monthly-service-study-and-sharing-session-2.jpg,https://lh3.googleusercontent.com/d/1mMWbh3I9VTGtKl2gptJgkyCu77ryLH4k; https://lh3.googleusercontent.com/d/1Oys71G7e2BUgO5pZVPghIIXH1bojXmMD,"https://us06web.zoom.us/j/85989557002 

 Meeting ID: 859 8955 7002

 Passcode: Panel76",,,https://lh3.googleusercontent.com/d/1iLY54BsinP1_DPeqO99fKm3fY2Q6un6u; https://lh3.googleusercontent.com/d/1MkuEo1qb7jB2O4Rg8eoEtFLsfiBrlS6M
rocypaa-business-meeting-2,2026-09-27 17:00:00,2026-09-27 19:00:00,,ROCYPAA Business Meeting,,YPAA,English,Irvine United Congregational Church,4915 Alton Pkwy,Irvine,CA,92604,,docs/events/rocypaa-business-meeting-1.jpg,https://lh3.googleusercontent.com/d/1rkxaslBDo7oK7x86wZefOWqzZyIvY7UP,,,,https://lh3.googleusercontent.com/d/1QqXWOhJ4Q4RAFdl-ATDWn0yXgckxJ2bP
soberfest-alcoholic-family-feud,2026-10-02 19:30:00,2026-10-02 22:00:00,,Soberfest / Alcoholic Family Feud,,Event,English,Community of Christ Church,395 S. Tustin St.,Orange,CA,92866,,docs/events/soberfest-alcoholic-family-feud-1.jpg,https://lh3.googleusercontent.com/d/171uRhhQPl6FW3qsyGHrHtTBCf3Y5B9DA,,,,https://lh3.googleusercontent.com/d/1zcHAtG_K7XckJ9xRKnjsqp-MwpRiwQFo
msca-area-09-panel-76-servathon,2026-11-14 10:00:00,2026-11-14 14:00:00,,MSCA Area 09 Panel 76 Servathon,,Servathon,English,Knights of Columbus,1729 E Baseline St,San Bernadino,CA,92410,,docs/events/msca-area-09-panel-76-servathon-1.jpg; docs/events/msca-area-09-panel-76-servathon-2.jpg,https://lh3.googleusercontent.com/d/1TIyv0FZU8zbHUEqRF8obir8BilctFNPf; https://lh3.googleusercontent.com/d/1IisQZXoAAUHKTqRaqJBjA1JuGHzZq6Co,,,,https://lh3.googleusercontent.com/d/1w6OrcqjzW0yS3qNMIM2ajk72Bsr0mF0V; https://lh3.googleusercontent.com/d/1YBxTE_oyAiWnkXvbYMTvRz_Sd3KS-SPw
2026-pacific-regional-forum,2026-12-04 00:00:00,2026-12-06 23:59:59,yes,2026 Pacific Regional Forum,,Forum,English,Wyndham San Diego,1355 North Harbor Drive,San Diego,CA,92101,,docs/events/2026-pacific-regional-forum-1.jpg; docs/events/2026-pacific-regional-forum-2.jpg,https://lh3.googleusercontent.com/d/1F-jrymr-5QWCJjrR0rQIt1UBXdbmid3e; https://lh3.googleusercontent.com/d/1XO1D73Fw_Hih-EyYJXj7NA1vwqNevs5r,"2026 Pacific Regional Forum Dec-4-6 Wyndham San Diego 1355 North Harbor Drive, San Diego, CA 92101",,,https://lh3.googleusercontent.com/d/15hyHDcz2fQ8l_Y9EIlwmxFLzhIZ2_K1O; https://lh3.googleusercontent.com/d/11oG8KiSKy2RUnRRPkc1LfDe07L_2el0q
11th-hispanic-woman-s-workshop,2026-12-12 00:00:00,2026-12-12 23:59:59,yes,11th Hispanic Woman’s Workshop,,Workshop,Spanish,Anaheim First Christian Church,520 W South St,Anaheim,CA,92805,,docs/events/11th-hispanic-woman-s-workshop-1.jpg; docs/events/11th-hispanic-woman-s-workshop-2.jpg,https://lh3.googleusercontent.com/d/1rR517ZZSgXt-LffGzb8_4ru84TVWPaDF; https://lh3.googleusercontent.com/d/1QU-7L_4A5vrrOSvi8ZXx0PfosMhXBfsT,"11th Hispanic Woman’s Workshop Dec 12th, 520 W South St Anaheim, CA 92805",,,https://lh3.googleusercontent.com/d/13GWtPbdf3aiQTZXgfqSaLfNmuPHCTvTY; https://lh3.googleusercontent.com/d/1hBz9eJ4WImYJsBuhlwq5ftR8CAkam8hg
